"x"	"y"	"pres"
"515"	2568000.3	1127999.3	0
"516"	2571600.3	1117598.4	0
"517"	2570099.3	1141295.4	0
"518"	2576799.8	1121598.6	0
"519"	2571399.4	1141299.9	0
"520"	2570000	1124100	0
"521"	2567302	1142705.6	0
"522"	2567598.2	1141003.6	0
"523"	2576501.3	1144798.90000001	0
"524"	2565990.8	1142202.1	0
"525"	2577904.8	1141703.9	0
"526"	2573801.8	1144002.7	0
"527"	2569696.8	1142495.1	0
"528"	2580805.96	1127042.88	0
"529"	2580747.05	1126947.96	0
"530"	2579493.24	1127048.15	0
"531"	2580243.28	1127611.51	0
"532"	2580259.37	1127455.27	0
"533"	2580202.34	1127087.23	0
"534"	2579149.56	1126813.48	0
"535"	2578564.43	1123658.45	0
"536"	2580244	1127614	0
"537"	2579125.98	1124114.63	0
"538"	2578588	1123645.8	0
"539"	2579132.85	1124078.65	0
"540"	2579228.68	1124056.79	0
"541"	2579221	1123601	0
"542"	2578616.29	1123647.95	0
"543"	2579287	1123540	0
"544"	2579146	1123696	0
"545"	2578454.92	1127133.81	0
"546"	2578503.27	1127285.06	0
"547"	2578439.11	1127104.02	0
"548"	2578480.98	1127199.27	0
"549"	2576498	1125302	0
"550"	2577231	1125337	0
"551"	2577095	1125563	0
"552"	2577002	1125737.1	0
"553"	2576486	1125157	0
"554"	2577191	1125438	0
"555"	2580384	1126010	0
"556"	2580205	1125430	0
"557"	2580713	1126950	0
"558"	2580735	1126895	0
"559"	2580700	1127022	0
"560"	2580692	1127093	0
"561"	2564416	1145631	1
"562"	2564443	1145424	1
"563"	2564550	1145125	1
"564"	2564550	1145175	1
"565"	2564591	1145921	1
"566"	2564611	1145396	1
"567"	2564621	1145630	1
"568"	2564628	1145463	1
"569"	2564641	1145538	1
"570"	2564014	1141856	1
"571"	2564020	1141860	1
"572"	2564028	1141865	1
"573"	2564029	1141869	1
"574"	2564031	1141871	1
"575"	2564035	1141873	1
"576"	2564038	1141881	1
"577"	2564039	1141875	1
"578"	2564039	1141892	1
"579"	2564043	1141893	1
"580"	2564047	1141893	1
"581"	2564051	1141904	1
"582"	2564096	1141908	1
"583"	2575699	1123556	1
