"x"	"y"	"pres"
"130"	2556973.9	1147973.5	0
"131"	2571325.6	1123371.5	0
"132"	2581500.1	1146293.7	1
"133"	2578405.1	1136698.7	0
"134"	2574599.1	1147402.6	1
"135"	2582698.6	1152999.7	0
"136"	2572791.1	1130000.99999999	0
"137"	2561243	1143270.6	1
"138"	2576799	1137001.5	0
"139"	2579499.3	1125899.1	0
"140"	2578798.1	1152198.7	0
"141"	2576899.2	1135300.6	1
"142"	2571491.2	1136704.4	0
"143"	2579595.4	1135895.9	0
"144"	2574799.7	1149306	0
"145"	2579202.5	1127099.6	0
"146"	2575302.8	1124296.6	0
"147"	2582903.8	1148008.8	0
"148"	2578798	1136097	0
"149"	2578507.5	1136296	0
"150"	2578508.1	1136447.7	0
"151"	2574896.5	1148994.9	0
"152"	2579695.7	1135690.8	0
"153"	2578501.7	1125401.6	0
"154"	2558697.6	1151448.1	0
"155"	2576401.6	1145594.59999999	1
"156"	2575197.5	1136097.8	0
"157"	2579300	1127000	0
"158"	2578699.1	1135697.9	0
"159"	2578101.7	1136694.6	0
"160"	2579394.5	1127298.5	0
"161"	2578099.9	1136597.5	0
"162"	2556725.4	1149799.5	0
"163"	2581102.6	1147496.4	1
"164"	2572499.3	1142499.1	0
"165"	2578009.1	1135297	1
"166"	2569596.2	1118697.6	1
"167"	2564005.6	1135995.5	0
"168"	2574598.3	1136695.3	0
"169"	2580599	1130604.3	0
"170"	2572599.5	1117600.4	0
"171"	2578901.5	1145897.8	1
"172"	2576392.2	1136900	0
"173"	2581303.3	1129895.4	0
"174"	2582391.8	1131806.9	0
"175"	2575498.4	1119697.79999999	0
"176"	2572399.1	1117203.5	0
"177"	2568343.2	1126100.4	1
"178"	2583295.3	1147897.6	1
"179"	2571300.9	1119198.1	0
"180"	2581994.8	1140302.7	0
"181"	2581989.9	1139903.8	0
"182"	2570696.1	1117995.1	0
"183"	2581598.5	1131499.8	0
"184"	2572099.2	1119498.8	0
"185"	2578801.4	1145697	1
"186"	2577403.4	1137099.6	0
"187"	2575587.4	1119963	0
"188"	2581299	1141190.4	0
"189"	2576997.9	1128702.4	0
"190"	2555900.3	1148998.7	0
"191"	2575600.5	1142398.5	1
"192"	2557699.9	1149446.4	0
"193"	2559759.4	1145948.2	0
"194"	2570601.6	1126399.5	0
"195"	2576073.9	1122944.4	0
"196"	2576144.9	1122862.2	1
"197"	2575963.5	1123411.2	1
"198"	2578685.1	1124961.7	0
"199"	2578624	1124900.8	0
"200"	2578000.8	1124697.2	0
"201"	2579934.6	1124834.3	0
"202"	2578429.1	1126929.7	1
"203"	2575911	1120586	0
"204"	2568699.4	1126299.1	1
"205"	2578499.4	1146998.9	1
"206"	2577097.3	1132101.7	1
"207"	2570501	1134777.5	1
"208"	2575424.2	1148146.1	0
"209"	2564902.3	1135892.4	0
"210"	2561077.2	1142223.1	0
"211"	2568199.1	1126923.2	1
"212"	2575305	1138001.9	0
"213"	2578097.3	1126797.3	0
"214"	2567494	1129402.2	1
"215"	2568400	1141500	0
"216"	2572202.6	1124701.8	1
"217"	2571511.9	1138702	0
"218"	2568325.9	1130398.8	1
"219"	2577187.2	1123302.2	0
"220"	2558229.8	1148297.1	0
"221"	2569189.5	1133409.8	1
"222"	2572299.3	1120103	0
"223"	2579502.3	1146799.2	1
"224"	2571000	1122800	1
"225"	2567495.4	1138403.1	0
"226"	2575000.6	1145775	0
"227"	2571100.3	1118396.6	0
"228"	2558928	1150370.2	1
"229"	2580001.8	1147096.6	1
"230"	2577503.1	1127204.79999999	0
"231"	2576600	1121200	0
"232"	2572201.4	1133801.8	0
"233"	2573001	1147000.2	1
"234"	2581497.5	1131291.2	0
"235"	2559275.4	1151124	0
"236"	2571098.2	1146497.4	1
"237"	2577501.2	1145595	1
"238"	2571898.9	1133906.8	1
"239"	2575796	1129984.7	0
"240"	2561026.6	1143900.2	0
"241"	2580201.8	1150796.7	1
"242"	2573105.7	1118601.30000001	0
"243"	2573099.5	1119599.49999999	0
"244"	2571051.1	1146399.7	1
"245"	2573103.4	1118598.5	0
"246"	2580700	1126300	0
"247"	2582198.2	1152691.8	0
"248"	2569921	1133567.9	1
"249"	2573199.9	1119600.8	1
"250"	2566766.3	1121184	0
"251"	2576399.9	1128498.4	0
"252"	2567007.6	1119415.6	1
"253"	2575600.6	1138700.5	0
"254"	2580477.5	1143595.9	0
"255"	2566921.6	1119499.3	1
"256"	2567217.1	1119963.1	0
"257"	2564300.4	1147498	0
"258"	2567375.3	1120135.8	0
"259"	2582302.9	1146696.1	1
"260"	2577001.9	1144894.8	1
"261"	2567586.4	1119886.5	1
"262"	2566597.5	1119842.3	1
"263"	2567203.5	1121302.3	1
"264"	2580599.6	1151189.7	0
"265"	2565503.8	1139301.8	0
"266"	2567201.5	1121101.7	1
"267"	2568299.9	1121200.1	1
"268"	2568600.9	1119913.3	0
"269"	2575301.1	1128999.3	0
"270"	2568499.9	1119901.1	0
"271"	2568001.3	1119898.9	0
"272"	2577799.6	1126297.00000001	0
"273"	2567899.8	1119898.4	0
"274"	2567739.3	1119992.1	1
"275"	2568299.9	1119696.4	1
"276"	2568201.9	1119602.4	0
"277"	2567499.3	1119298.9	1
"278"	2565400.3	1144400.3	0
"279"	2569400.3	1131500.1	1
"280"	2567397.1	1119101.8	0
"281"	2575299.8	1121901.7	0
"282"	2567795.9	1120798.4	1
"283"	2566799.5	1120794.1	0
"284"	2555197.8	1146597.1	1
"285"	2555805.8	1146495.9	0
"286"	2556075.3	1145996.9	1
"287"	2556700	1145398.2	0
"288"	2580401.9	1139199.1	0
"289"	2556095.9	1147396.3	1
"290"	2556500.7	1147401.7	0
"291"	2557399.3	1148599	0
"292"	2580198.9	1125401	0
"293"	2581200.3	1137900	0
"294"	2569402.9	1124255.3	0
"295"	2575603.4	1122200.8	0
"296"	2566898.4	1128704.9	1
"297"	2564497.7	1145390	0
"298"	2567033.4	1128733	1
"299"	2575801.8	1122501.7	0
"300"	2561029.3	1142573.3	0
"301"	2574998.5	1121895.7	0
"302"	2559403.6	1144804.3	1
"303"	2558901.4	1144999.9	0
"304"	2574493.8	1120197.7	0
"305"	2558901.9	1145301.7	0
"306"	2559400.1	1144600.6	0
"307"	2559298.5	1146098.9	0
"308"	2575499.6	1140299.8	1
"309"	2580308.3	1125895.5	0
"310"	2561650.3	1144250.7	1
"311"	2569177.4	1146198.70000001	0
"312"	2559399.1	1146299.4	0
"313"	2575701.7	1139799.2	0
"314"	2577104.4	1139798.9	1
"315"	2568401.1	1137500.5	0
"316"	2572002.5	1137399	0
"317"	2572400	1119200	0
"318"	2568600.2	1137699.4	0
"319"	2576400.9	1139495.3	1
"320"	2581495	1141708.9	0
"321"	2572790	1119200	0
"322"	2568898.6	1146093	0
"323"	2581800.3	1139198.9	0
"324"	2578800	1142800	0
"325"	2575699.4	1127700.4	0
"326"	2573599	1118503.8	0
"327"	2564594	1147102.9	0
"328"	2566801	1141197.9	0
"329"	2572501.1	1118104.5	0
"330"	2570525.5	1133196.1	0
"331"	2566274.6	1141005.1	0
"332"	2576801.2	1125097.5	0
"333"	2567797.4	1136197.1	0
"334"	2567699.5	1135898.8	0
"335"	2571502.8	1137302.4	0
"336"	2564297.7	1142001.5	0
"337"	2564401.8	1142100	0
"338"	2571899.5	1117300.20000001	0
"339"	2558978.9	1150775.4	0
"340"	2569946.4	1145602.9	1
"341"	2583702.1	1145787.8	0
"342"	2563095.1	1148098.7	0
"343"	2565777	1140310.9	0
"344"	2564498.7	1147097.7	0
"345"	2572399	1130099.6	0
"346"	2568001.2	1137391.3	0
"347"	2571998.1	1117500.9	0
"348"	2573528	1145101.4	1
"349"	2571003.5	1146493.3	1
"350"	2579801.1	1125899.6	0
"351"	2580200.6	1125803.9	0
"352"	2579299.8	1125801.8	0
"353"	2579600.8	1135998.8	0
"354"	2581602.6	1136003.3	0
"355"	2579599.3	1126198.6	0
"356"	2580600	1126400.7	0
"357"	2566496.5	1134101.5	0
"358"	2572700.4	1145900.5	1
"359"	2578200	1123100	0
"360"	2580101.4	1125999.7	0
"361"	2581600.9	1135899.4	0
